## Table: LBDWH.T_DAL_CURCY_EXCHG
Library   : LBDWH
Schema    : DWHOWR
Engine    : ODBC (Oracle)
Variables : 12

## Variable Reference
# Num = Numeric, Char = Character

#  | Variable                       | Type | Len | Format      | Label
---|--------------------------------|------|-----|-------------|--------------------------------
1  | CURCY_CODE                     | Char | 3   | $3.         | CURCY_CODE
2  | PROC_DTE                       | Num  | 8   | DATETIME20. | PROC_DTE
3  | BID_RT                         | Num  | 8   | 17.6        | BID_RT
4  | OFR_RT                         | Num  | 8   | 17.6        | OFR_RT
5  | PAR_RT                         | Num  | 8   | 17.6        | PAR_RT
6  | EXCHG_RT                       | Num  | 8   | 20.10       | EXCHG_RT
7  | GL_RT                          | Num  | 8   | 17.6        | GL_RT
8  | MAS_RT                         | Num  | 8   | 20.10       | MAS_RT
9  | UPDT_DTE                       | Num  | 8   | DATETIME20. | UPDT_DTE
10 | UPDT_PRG                       | Char | 20  | $20.        | UPDT_PRG
11 | UPDT_USR                       | Char | 10  | $10.        | UPDT_USR
12 | KP_EXCHG_RT                    | Num  | 8   | 27.18       | KP_EXCHG_RT
